,Sparsity,Proximity,Constraint_Violation,Redundancy,y-Nearest-Neighbours-Probability,y-Nearest-Neighbours-Distance,Time_taken,y-Nearest-Neighbours-Manifold-Distance,Sphere-Manifold-Distance,Success_Rate,Average_Time,y-Nearest-Neighbours
0,8.0,2.7560533881924476,1.0,7.0,1.0,6.0,1.6985469099963666,0.5706912705018484,0.3688661694831156,0.842,1.6905254396239906,0.8779097387173397
1,11.0,5.947900060076346,1.0,13.0,1.0,6.0,1.8734638130044914,0.4319712339541907,0.316321413828704,,,
2,7.0,1.6040706038367862,0.0,5.0,1.0,6.0,1.6845198349983548,0.4319712339541907,0.316321413828704,,,
3,8.0,2.8282196950010254,1.0,8.0,0.8,6.0,1.6951044750021538,0.4363313026424133,0.3567860994143494,,,
4,11.0,7.663033135256603,2.0,13.0,0.8,6.0,1.6838959469969268,1.9444118695203418,,,,
5,9.0,4.319140973673852,1.0,9.0,0.3999999999999999,6.0,1.679809537003166,1.171393927468696,,,,
6,10.0,4.790297150039489,1.0,13.0,1.0,6.0,1.6710080150005524,0.4319712339541907,0.316321413828704,,,
7,10.0,4.93209423877021,1.0,14.0,1.0,6.0,1.691000703998725,0.3825817300206493,0.3669576242347948,,,
8,9.0,3.8207414638088846,2.0,9.0,1.0,6.0,1.6905146239951137,0.4319712339541907,0.316321413828704,,,
9,8.0,2.647311679685657,1.0,7.0,1.0,6.0,1.6837207209973712,0.4319712339541907,0.316321413828704,,,
10,7.0,1.809950210398941,1.0,8.0,0.6,6.0,1.6736572029985837,0.5026896421631968,0.36866352499338806,,,
11,10.0,4.885349915146653,1.0,11.0,0.0,8.0,1.6850626480008941,2.8905093849080927,,,,
12,8.0,2.806862666373432,1.0,7.0,1.0,6.0,1.671151414004271,0.4319712339541907,0.316321413828704,,,
13,8.0,2.666763225256357,1.0,7.0,1.0,6.0,1.6763217539992183,0.4319712339541907,0.316321413828704,,,
14,7.0,1.904031586712149,1.0,5.0,0.19999999999999996,6.0,1.7005883530000574,0.39989383825960495,0.3290105107925001,,,
15,8.0,2.826530708981592,2.0,9.0,1.0,6.0,1.6792087429930689,0.5461604986033775,0.3532120820096716,,,
16,9.0,4.07279492754768,2.0,9.0,1.0,6.0,1.6821208740002476,0.4319712339541907,0.316321413828704,,,
17,9.0,3.5885451114358773,1.0,8.0,0.19999999999999996,6.0,1.6923247410013573,0.3331398035673137,0.3258226054065603,,,
18,7.0,1.9761672417925713,1.0,5.0,0.19999999999999996,6.0,1.717836420997628,0.3599779536257685,0.3551472752644633,,,
19,8.0,2.806546111302447,2.0,7.0,1.0,6.0,1.6808538739933283,0.4319712339541907,0.316321413828704,,,
20,7.0,1.9500110705967812,1.0,8.0,1.0,6.0,1.6962884640015545,0.5177290915268987,0.3892609963064149,,,
21,7.0,1.8323091800055542,1.0,5.0,1.0,6.0,1.6983388529988588,0.4319712339541907,0.316321413828704,,,
22,8.0,2.810711945204029,1.0,10.0,0.6,6.0,1.7054276609997032,0.5026907776316797,0.36866415544330133,,,
23,7.0,1.9661187307404324,1.0,5.0,1.0,6.0,1.773204799996165,0.3781124400238938,0.33785359042906377,,,
24,7.0,1.7222376327122928,1.0,5.0,1.0,6.0,1.6863663320036721,0.36208479720652065,0.32681200018362005,,,
25,8.0,2.7078139614575987,1.0,7.0,0.0,6.0,1.6714065240012133,0.5222384147535909,0.34772654587627644,,,
26,8.0,2.8194152337361116,1.0,7.0,1.0,6.0,1.6674131440013298,0.4319712339541907,0.316321413828704,,,
27,8.0,2.7716070696690114,1.0,7.0,1.0,6.0,1.6932117809992633,0.4319712339541907,0.316321413828704,,,
28,10.0,4.607466863018549,1.0,11.0,1.0,6.0,1.6792350340037956,0.4319712339541907,0.316321413828704,,,
29,11.0,6.076540989442865,1.0,13.0,1.0,6.0,1.692815812995832,0.4319712339541907,0.316321413828704,,,
30,9.0,3.8794385063229653,1.0,9.0,1.0,6.0,1.683064115997695,0.4319712339541907,0.316321413828704,,,
31,8.0,2.7578012416043727,1.0,7.0,1.0,6.0,1.8379124629936996,0.4319712339541907,0.316321413828704,,,
32,10.0,5.23961110971788,2.0,11.0,1.0,6.0,1.7171361270011403,0.4319712339541907,0.316321413828704,,,
33,6.0,0.7720665331101578,1.0,5.0,1.0,6.0,1.7053937559976475,0.36296451879433644,0.3199338945484133,,,
34,8.0,3.3546215393146035,1.0,7.0,1.0,6.0,1.7534683990015765,0.9621276698806753,,,,
35,7.0,1.5749543570446267,1.0,6.0,1.0,6.0,1.7111632439991808,0.5105240154468421,0.3773316669526826,,,
36,8.0,2.8410827821448263,2.0,7.0,0.8,6.0,1.6825599020012305,0.45620649515465717,0.3472782919706401,,,
37,7.0,1.7863345221810203,0.0,5.0,1.0,6.0,1.6787689849952585,0.5921923984083469,0.3623999701975813,,,
38,10.0,4.768675382797094,1.0,11.0,1.0,6.0,1.7314227719980408,0.4319712339541907,0.316321413828704,,,
39,8.0,2.7991190922803986,1.0,7.0,0.6,6.0,1.817390855998383,0.7011331635612708,0.4044422834438029,,,
40,8.0,2.7578575423758354,1.0,7.0,0.19999999999999996,6.0,1.8048944139954983,0.3331398035673137,0.32582260071227365,,,
41,7.0,1.3675845851283528,1.0,5.0,1.0,6.0,1.732101926994801,0.360704868185141,0.3351259373326203,,,
42,11.0,5.694683861306677,2.0,13.0,1.0,6.0,1.745040390000213,0.4319712339541907,0.316321413828704,,,
43,8.0,2.9877356602925556,2.0,7.0,1.0,6.0,1.7364339849955286,0.4319712339541907,0.316321413828704,,,
44,7.0,1.8733191586770108,1.0,7.0,1.0,6.0,1.7335036540025612,0.42137685275814407,0.32228491120433017,,,
45,9.0,3.807340031284911,1.0,9.0,1.0,6.0,1.6858440360010718,0.4319712339541907,0.316321413828704,,,
46,6.0,0.7695759743816617,1.0,5.0,1.0,6.0,1.690515776994289,0.3636398525863882,0.3268295221980103,,,
47,11.0,6.101293841415388,1.0,13.0,1.0,6.0,1.6897203639964573,0.4319712339541907,0.316321413828704,,,
48,8.0,2.654153292054694,1.0,7.0,1.0,6.0,1.6849007419950794,0.3645160634606267,0.3202861368694461,,,
49,8.0,2.735646145320138,1.0,7.0,1.0,6.0,1.7008131649999996,0.31177812020047174,0.30634650489261556,,,
50,7.0,1.8728235598712175,1.0,5.0,0.19999999999999996,6.0,1.6787955299951136,0.8508642866495407,,,,
51,7.0,1.6583124632039332,1.0,5.0,1.0,6.0,1.699018323000928,0.5086132910460196,0.3821150469631167,,,
52,7.0,1.7345001802462958,1.0,5.0,1.0,6.0,1.7180235690029804,0.4319712339541907,0.316321413828704,,,
53,7.0,1.8555906643773583,1.0,5.0,1.0,6.0,1.7095982750033727,0.37212414337090505,0.32240796191074444,,,
54,9.0,3.652422394360064,2.0,9.0,1.0,6.0,1.689726653006801,0.4319712339541907,0.316321413828704,,,
55,9.0,3.765508773808687,2.0,11.0,1.0,6.0,1.6954971860031947,0.4319712339541907,0.316321413828704,,,
56,7.0,2.2422404331427086,1.0,8.0,0.8,6.0,1.7258357019964023,0.6142052634555686,0.42357924192460056,,,
57,9.0,3.7053617475597775,1.0,9.0,1.0,6.0,1.6976548899983754,0.4319712339541907,0.316321413828704,,,
58,7.0,1.6158068537137487,1.0,5.0,1.0,6.0,1.7449520390000544,0.4104996781848644,0.34454351432104835,,,
59,9.0,3.499389350176762,1.0,8.0,0.19999999999999996,6.0,1.6937944989986136,0.2776674654934254,0.2794752403315028,,,
60,7.0,1.5751151220474193,0.0,7.0,1.0,6.0,1.6627042600011919,0.4807077042706806,0.36439663096830754,,,
61,8.0,2.7401988890337923,1.0,7.0,1.0,6.0,1.6805655529969954,0.4319712339541907,0.316321413828704,,,
62,9.0,4.228574935952498,1.0,9.0,1.0,6.0,1.6929913580024731,0.4319712339541907,0.316321413828704,,,
63,8.0,2.753588508420832,1.0,7.0,1.0,6.0,1.686659597005928,0.4319712339541907,0.316321413828704,,,
64,10.0,4.5033059167549965,1.0,11.0,1.0,6.0,1.6960031109992997,0.4319712339541907,0.316321413828704,,,
65,10.0,5.574076944919934,1.0,11.0,1.0,6.0,1.7055743140008417,0.4319712339541907,0.316321413828704,,,
66,8.0,3.0542089386091735,2.0,7.0,1.0,6.0,1.7089385660001426,0.6939416990786618,0.3535004530197048,,,
67,10.0,4.972596093933646,1.0,11.0,1.0,6.0,1.7191055299990694,0.4319712339541907,0.316321413828704,,,
68,7.0,2.136494721664641,1.0,5.0,1.0,6.0,1.69241803100158,0.4319712339541907,0.316321413828704,,,
69,10.0,4.796297295678951,1.0,11.0,1.0,6.0,1.695751843006292,0.4319712339541907,0.316321413828704,,,
70,9.0,3.666715243783268,2.0,9.0,1.0,6.0,1.7242297109987703,0.4319712339541907,0.316321413828704,,,
71,7.0,1.946960657403136,1.0,6.0,0.6,6.0,1.761532905002241,0.5026914213618433,0.3686647615039125,,,
72,8.0,2.935875105665305,2.0,7.0,1.0,6.0,1.6797758660031832,0.4319712339541907,0.316321413828704,,,
73,6.0,1.525691688206188,1.0,6.0,1.0,6.0,1.6794233019973035,0.7977438665220041,0.4427131198619181,,,
74,7.0,1.9446003066274693,1.0,5.0,1.0,6.0,1.6852828619958018,0.4319712339541907,0.316321413828704,,,
75,9.0,4.0264877043177805,2.0,11.0,1.0,6.0,1.6920812880052836,0.4319712339541907,0.316321413828704,,,
76,8.0,2.5991935480494703,2.0,7.0,1.0,6.0,1.6834991540017654,0.4319712339541907,0.316321413828704,,,
77,10.0,4.825365698390356,2.0,11.0,1.0,6.0,1.6704254770011175,0.4319712339541907,0.316321413828704,,,
78,10.0,4.715162657416866,2.0,11.0,0.8,6.0,1.692567283003882,0.5472855910507585,0.39219407891275576,,,
79,7.0,1.7279756362510628,1.0,7.0,0.19999999999999996,6.0,1.683505861001322,0.39989580521288254,0.32901084041859247,,,
80,8.0,2.6555805392572047,1.0,7.0,1.0,6.0,1.6727674629946705,0.4319712339541907,0.316321413828704,,,
81,6.0,0.7449658914819264,1.0,5.0,1.0,6.0,1.6851110339994193,0.30212003261907383,0.3021523891719499,,,
82,10.0,4.603515541390735,2.0,11.0,1.0,6.0,1.669602654998016,0.4319712339541907,0.316321413828704,,,
83,9.0,3.709104315090369,1.0,9.0,1.0,6.0,1.7105519599936088,0.4319712339541907,0.316321413828704,,,
84,9.0,4.043942156788516,2.0,9.0,1.0,6.0,1.6912954560029902,0.619480212380524,0.3811582031401806,,,
85,8.0,2.765478689357038,2.0,7.0,1.0,6.0,1.7247870520004653,0.4319712339541907,0.316321413828704,,,
86,7.0,1.658415639456736,1.0,5.0,1.0,6.0,1.6885818709997693,0.4319712339541907,0.316321413828704,,,
87,7.0,1.8329582110117706,1.0,5.0,1.0,6.0,1.6751403419984854,0.4319712339541907,0.316321413828704,,,
88,10.0,4.682113283056279,2.0,11.0,1.0,6.0,1.7533080330031225,0.4319712339541907,0.316321413828704,,,
89,7.0,1.688647391250498,1.0,5.0,1.0,6.0,1.70960301499872,0.5855005646030905,0.3887547863847234,,,
90,7.0,1.7143078630517985,1.0,5.0,0.0,6.0,1.69908469299844,0.522238378990804,0.34772650342566164,,,
91,9.0,3.896560974595561,2.0,9.0,1.0,6.0,1.7147892480061273,0.4319712339541907,0.316321413828704,,,
92,8.0,2.5212483285507226,2.0,7.0,0.8,6.0,1.6935108159959782,0.44157905398376474,0.3580663917855223,,,
93,7.0,2.1976789325595023,1.0,5.0,0.19999999999999996,6.0,1.6647881669996423,0.39989417502584795,0.32901051392821773,,,
94,8.0,2.7219394554230703,1.0,8.0,0.6,6.0,1.6837340819984092,0.5026905660351908,0.36866410763716373,,,
95,7.0,2.313353213003646,1.0,8.0,1.0,6.0,1.6923780990036903,0.7805420137235423,0.4494878973129107,,,
96,7.0,1.7380360837979887,1.0,6.0,0.6,6.0,1.6936212699947646,0.5026914213618433,0.3686647615039125,,,
97,7.0,1.744643198660229,1.0,5.0,1.0,6.0,1.6696620610018726,0.4319712339541907,0.316321413828704,,,
98,8.0,2.7596380405002634,2.0,7.0,1.0,6.0,1.7598723909977707,0.4319712339541907,0.316321413828704,,,
99,9.0,3.702627016898812,1.0,9.0,1.0,6.0,1.7217257650045212,0.632714283148949,0.36607060674837666,,,
100,8.0,2.9068534682458096,1.0,7.0,1.0,6.0,1.679799510005978,0.4319712339541907,0.316321413828704,,,
101,8.0,2.865227708144536,2.0,7.0,0.8,6.0,1.7142940890043974,0.7110151986349984,0.3820258740970843,,,
102,6.0,0.8076310559709468,1.0,6.0,1.0,6.0,1.7301367410036619,0.5354069734624906,0.38576020755351054,,,
103,10.0,4.586753583209024,1.0,11.0,1.0,6.0,1.7049938920026761,0.4319712339541907,0.316321413828704,,,
104,7.0,1.639590215652494,1.0,5.0,1.0,6.0,1.6899586049985373,0.4319712339541907,0.316321413828704,,,
105,8.0,2.765268347553322,2.0,7.0,1.0,6.0,1.8017753540043486,0.4319712339541907,0.316321413828704,,,
106,7.0,2.3887203260502208,1.0,5.0,0.8,6.0,1.696114457998192,0.8706195208186607,0.41234258402451296,,,
107,10.0,4.547188871633624,0.0,11.0,1.0,6.0,1.6865440530018532,0.4319712339541907,0.316321413828704,,,
108,9.0,3.6000888277182077,2.0,9.0,1.0,6.0,1.6748216230043909,0.4319712339541907,0.316321413828704,,,
109,8.0,2.8218291184035946,1.0,7.0,0.19999999999999996,6.0,1.6943648899978143,0.3998937786549602,0.32901046324295224,,,
110,10.0,4.636911545269957,2.0,11.0,1.0,6.0,1.68428120000317,0.4319712339541907,0.316321413828704,,,
111,7.0,1.9156499283607389,1.0,5.0,1.0,6.0,1.6890425959936692,0.4847717324794573,0.3517724015865612,,,
112,7.0,1.814060106499313,1.0,6.0,0.19999999999999996,6.0,1.6946644380004727,0.3331396605161663,0.32582253169259934,,,
113,8.0,2.9221681770007666,1.0,7.0,0.19999999999999996,6.0,1.6866330729972105,0.3331398035673137,0.32582260071227365,,,
114,8.0,2.699682012647499,2.0,7.0,1.0,6.0,1.6735394930001348,0.4319712339541907,0.316321413828704,,,
115,8.0,2.968199189392165,1.0,7.0,1.0,6.0,1.6710404659970663,0.4319712339541907,0.316321413828704,,,
116,7.0,1.6372615270921989,2.0,7.0,1.0,6.0,1.675796455994714,0.6524836817086266,0.3939700036210681,,,
117,7.0,1.8924464057282833,1.0,5.0,1.0,6.0,1.675211620000482,0.4319712339541907,0.316321413828704,,,
118,9.0,3.7818193689998556,2.0,9.0,1.0,6.0,1.673533198001678,0.4319712339541907,0.316321413828704,,,
119,7.0,2.0096462474153496,1.0,5.0,1.0,6.0,1.6803743120035506,0.3707588572590734,0.3222165709002027,,,
120,8.0,2.722501886578687,2.0,7.0,1.0,6.0,1.6916223840016755,0.4319712339541907,0.316321413828704,,,
121,7.0,2.2518590320672853,1.0,5.0,0.19999999999999996,6.0,1.6871425789940986,0.3599779536257685,0.3551472752644633,,,
122,8.0,2.565114009633156,2.0,7.0,1.0,6.0,1.700210129005427,0.4319712339541907,0.316321413828704,,,
123,11.0,5.6479933627177425,2.0,13.0,1.0,6.0,1.6761588810040848,0.4319712339541907,0.316321413828704,,,
124,9.0,3.6470507527018787,2.0,9.0,1.0,6.0,1.7223518190003233,0.4319712339541907,0.316321413828704,,,
125,11.0,5.609270388774936,2.0,13.0,1.0,6.0,1.6686179059979622,0.4319712339541907,0.316321413828704,,,
126,7.0,1.8369493950019617,1.0,5.0,1.0,6.0,1.6789809110050555,0.5921923984083469,0.3623999701975813,,,
127,6.0,0.8195648321887129,1.0,5.0,1.0,6.0,1.809063412998512,0.4319712339541907,0.316321413828704,,,
128,7.0,1.797891034749047,1.0,6.0,0.6,6.0,1.7057699599972693,0.5026914213618433,0.3686647615039125,,,
129,7.0,1.7474724194070188,1.0,5.0,0.0,6.0,1.8126894849992823,0.522238378990804,0.34772650342566164,,,
130,9.0,4.588945815674281,1.0,9.0,0.19999999999999996,6.0,1.673540461997618,0.8455295106625708,0.38310854885861123,,,
131,7.0,1.6760750369901392,1.0,5.0,1.0,6.0,1.679765654997027,0.6035848335186587,0.3274623368004364,,,
132,8.0,2.6893812202587384,1.0,7.0,1.0,6.0,1.6827769820010872,0.4319712339541907,0.316321413828704,,,
133,7.0,1.9839491059942285,1.0,5.0,0.3999999999999999,6.0,1.6824762390024262,1.1024396176097075,0.41783362410268066,,,
134,8.0,2.8072563903987993,2.0,7.0,1.0,6.0,1.6866957969978102,0.4319712339541907,0.316321413828704,,,
135,10.0,4.640243459456123,1.0,8.0,0.19999999999999996,6.0,1.6781304889955209,0.3633741428667073,0.31095059088309557,,,
136,10.0,4.917196505385238,2.0,11.0,0.19999999999999996,6.0,1.6889361089997692,0.7784341121880348,0.4013248517163312,,,
137,7.0,2.090498915759932,1.0,8.0,1.0,6.0,1.783218463002413,0.7650200652710892,,,,
138,9.0,3.559058071909205,2.0,9.0,1.0,6.0,1.7033946749943425,0.4319712339541907,0.316321413828704,,,
139,8.0,2.671604331288593,1.0,7.0,1.0,6.0,1.7053571900032694,0.3853875175628988,0.321579749502555,,,
140,8.0,2.6711933301900737,1.0,7.0,1.0,6.0,1.6753408840013435,0.4319712339541907,0.316321413828704,,,
141,7.0,2.239833867722481,1.0,5.0,1.0,6.0,1.7104294540040428,0.4319712339541907,0.316321413828704,,,
142,9.0,3.8653354594422287,2.0,9.0,1.0,6.0,1.6809695850024582,0.5762989266362384,0.37826184361903176,,,
143,7.0,1.8212050135417117,1.0,5.0,1.0,6.0,1.6963170589951915,0.4319712339541907,0.316321413828704,,,
144,10.0,4.713778242856291,1.0,11.0,1.0,6.0,1.704912298002455,0.4319712339541907,0.316321413828704,,,
145,7.0,1.575920358357145,1.0,5.0,0.0,6.0,1.6988580760007608,0.5222383104454625,0.3477265148439463,,,
146,8.0,2.9336388372766615,2.0,7.0,1.0,6.0,1.7063302580063464,0.4319712339541907,0.316321413828704,,,
